# StartTime = 09-12-2017 09:02:49.4484 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,33.81891,-118.3596,0,0.9797867,900.75,8,0,0,29.13588,13.43396,77.55759,14.62532,14.5503,0,15.10533,29.68692,43.55663,86,0.998997,0,29.5301,0,0,0,0,0.09685715,0,75.45932,19.21569
0.952,33.81891,-118.3596,0,0.9604372,907,8,0,0,28.56048,13.16866,76.25501,14.62532,14.6597,0,15.13522,30.25896,43.78127,86,0.998997,0,29.5301,0,0,0,0,0.1073557,0,55.77428,19.21569
1.943,33.81891,-118.3596,0,0.9577987,903,8,0,0,28.56129,13.13248,76.38238,14.62532,14.68515,0,15.56666,30.10826,43.31359,86,0.998997,0,29.5301,0,0,0,0,0.1276271,0,49.2126,19.21569
2.946,33.81891,-118.3596,0,0.953401,892,8,0,0,28.37452,13.07219,76.96929,14.62532,14.65479,0,13.84798,29.13521,42.3885,86,0.998997,0,29.5301,0,0,0,0,0.1486434,0,42.65092,19.21569
3.943,33.81892,-118.3596,0,0.9410877,902.25,15,0,0,28.17969,12.90336,75.11211,14.62532,14.73114,0,13.86996,28.00602,42.6024,86,0.998997,0,29.5301,0,0,0,0,0.1592485,0,42.65092,19.21569
4.947,33.81892,-118.3596,0,0.9490034,907.75,15,0,0,28.09585,13.01189,73.122,14.62532,14.6079,0,13.39068,27.10771,42.2368,86,0.998997,0,29.5301,0,0,0,0,0.1795812,0,32.8084,19.21569
5.944,33.81892,-118.3596,0,0.9366902,895.25,15,0,0,28.22095,12.84306,75.34567,14.62532,14.67845,0,13.02457,29.35574,40.43235,86,0.998997,0,29.5301,0,0,0,0,0.1988557,0,29.52756,19.21569
6.943,33.81891,-118.3596,0,0.909425,900.75,15,0,0,27.46879,12.46923,72.70584,14.62532,14.58245,0,13.72127,25.11533,43.07768,86,0.998997,0,29.5301,0,0,0,0,0.2096242,0,29.52756,18.82353
7.942,33.81892,-118.3596,0,0.9217383,892.75,15,0,0,27.50071,12.63806,74.3506,14.62532,14.51681,0,15.24432,22.89823,44.28248,86,0.998997,0,29.5301,0,0,0,0,0.231049,0,22.96588,19.21569
8.941,33.81891,-118.3596,0,0.9296539,899,15,0,0,27.62189,12.74659,74.46777,14.62532,14.55209,0,14.87805,21.93117,44.63677,86,0.998997,0,29.5301,0,0,0,0,0.2422754,0,22.96588,19.21569
9.941,33.8189,-118.3596,0,0.931413,910,21,0,0,27.84346,12.77071,73.70681,14.62532,14.49806,0,14.48467,20.97554,45.44534,89.6,0.998997,0,29.5301,0,0,0,0,0.2652257,0,22.96588,18.82353
10.94,33.81889,-118.3596,0,0.8997502,892.75,21,0,0,26.80005,12.33658,72.57697,14.62532,14.53557,0,13.2078,20.15429,45.18367,89.6,0.998997,0,29.5301,0,0,0,0,0.2746637,0,19.68504,18.82353
11.942,33.81889,-118.3596,0,0.8795213,890.5,21,0,0,26.42449,12.05921,71.12448,14.62532,14.67622,0,14.26885,19.19097,45.77655,89.6,0.998997,0,29.5301,0,0,0,0,0.2937518,0,16.4042,18.82353
12.94,33.81889,-118.3596,0,0.8610513,1043.75,21,0,0,22.17038,11.80597,60.56017,14.62532,14.55298,0,14.17515,19.15379,44.10372,89.6,0.998997,0,29.5301,0,0,0,0,0.3140914,0,16.4042,18.82353
13.944,33.81889,-118.3596,0,0.8540151,855.25,21,0,0,24.6258,11.7095,71.90833,14.62532,14.95128,0,13.95039,22.57509,40.47622,89.6,0.998997,0,29.5301,0,0,0,0,0.3239085,0,13.12336,18.82353
14.944,33.8189,-118.3596,0,0.8478585,889,21,0,0,25.71563,11.62508,71.45823,14.62532,14.54405,0,14.35163,21.73845,40.99502,89.6,0.998997,0,29.5301,0,0,0,0,0.3456182,0,13.12336,18.82353
15.942,33.8189,-118.3596,1.864114,0.8610513,887.5,27,2.354769,0.4709537,25.82527,11.80597,69.86624,14.62532,14.69587,2.164927,14.29121,14.30756,45.72831,89.6,0.998997,0,29.5301,0,0,0,0,0.3553931,0.0003006045,13.12336,18.82353
16.941,33.8189,-118.3596,1.864114,0.8513766,1017.75,27,-0.2147644,0.4280008,26.73973,11.67332,60.24033,14.62532,14.67845,2.189529,14.83646,16.67469,40.9892,89.6,0.998997,0,29.5301,0,0,0,0,0.3756382,0.00115808,13.12336,18.82353
17.941,33.8189,-118.3596,1.864114,0.8197138,828.75,27,3.642464E-16,0.4280008,26.66946,11.23919,81.85006,14.62532,14.38687,2.274103,14.50375,17.89619,40.0601,89.6,0.998997,0,29.5301,0,0,0,0,0.3963041,0.001798558,6.56168,18.82353
18.941,33.8189,-118.3596,0,0.8417018,869.5,27,-2.41282,-0.05456323,25.89297,11.54067,69.71005,14.62532,14.63023,2.214696,14.5704,16.30797,40.94797,89.6,0.998997,0,29.5301,0,0,0,0,0.415208,0.002092803,6.56168,18.43137
19.941,33.8189,-118.3596,0,0.8293886,845.25,27,-2.41282,-0.05456323,25.83846,11.37184,70.66096,14.62532,14.60388,0,14.87578,12.47565,42.74766,89.6,0.998997,0,29.5301,0,0,0,0,0.4259539,0.002092803,6.56168,18.82353
20.942,33.81889,-118.3596,0,0.8443404,867,27,3.642464E-16,-0.05456323,26.51874,11.57685,70.13022,14.62532,14.66461,0,15.27407,5.922771,42.49971,89.6,0.998997,0,29.5301,0,0,0,0,0.444876,0.002092803,6.56168,18.82353
21.94,33.81889,-118.3596,0,0.8443404,871,33,3.642464E-16,-0.525517,26.25875,11.57685,69.80815,14.62532,14.65389,0,15.29856,2.851329,43.02839,95,0.998997,0,29.5301,0,0,0,0,0.4543541,0.002092803,3.28084,18.82353
22.941,33.81889,-118.3596,0,0.8364247,882,33,3.642464E-16,-0.4825641,25.96017,11.46831,68.29124,14.62532,14.75972,0,14.23545,5.966137,39.20758,95,0.998997,0,29.5301,0,0,0,0,0.4776146,0.002092803,0,18.82353
23.943,33.81889,-118.3596,0,0.8188343,950.75,33,3.642464E-16,-0.4825641,23.2223,11.22713,62.42037,14.62532,14.36142,0,14.66377,7.418477,38.5601,95,0.998997,0,29.5301,0,0,0,0,0.4967701,0.002092803,0,18.43137
24.944,33.8189,-118.3596,0,0.9850638,1061.5,33,3.642464E-16,-0.4825641,31.78071,13.50632,66.82687,14.62532,14.93475,0,15.32262,1.457533,41.77468,95,0.998997,0,29.5301,0,0,0,0,0.5075973,0.002092803,-3.28084,20
25.942,33.81889,-118.3597,4.349598,0.7994848,958.5,33,5.309053,1.061811,22.88416,10.96183,60.06546,14.62532,13.79747,5.440502,16.098,-3.765711,38.98784,95,0.998997,0,29.5301,0,0,0,0,0.527609,0.003235705,-3.28084,18.43137
26.942,33.81889,-118.3597,4.349598,0.7783763,935.75,33,2.263421,1.061811,21.89642,10.6724,59.90133,14.62532,14.83965,5.58804,17.39235,-5.205105,41.3875,95,0.998997,0,29.5301,0,0,0,0,0.5377299,0.00397109,-6.56168,18.43137
27.947,33.81888,-118.3597,3.728227,0.788051,860.75,39,-0.7484516,0.9121202,24.05046,10.80506,65.93015,14.62532,14.88296,4.730947,16.3394,-3.19329,40.52094,95,0.998997,0,29.5301,0,0,0,0,0.5596809,0.005443235,-6.56168,18.43137
28.955,33.81888,-118.3597,3.106856,0.7924486,854.5,39,-0.7438092,0.7633584,25.00545,10.86535,67.00534,14.62532,14.72802,3.920577,15.88308,-2.917027,40.15238,95,0.998997,0,29.5301,0,0,0,0,0.5813553,0.00669378,-9.84252,18.43137
29.952,33.81887,-118.3597,2.485485,0.7783763,856.25,39,-1.397498,0.6326206,24.20728,10.6724,65.46297,14.62532,14.59495,3.193166,14.59129,-2.508031,38.01345,95,0.998997,0,29.5301,0,0,0,0,0.5928261,0.007175052,-9.84252,18.43137
30.951,33.81887,-118.3597,1.864114,0.7854125,857,39,-0.7479721,0.4830262,24.71113,10.76888,66.14474,14.62532,14.6146,2.37342,14.68978,-3.405541,40.34803,95,0.998997,0,29.5301,0,0,0,0,0.6129981,0.007795607,-13.12336,18.43137
31.952,33.81887,-118.3597,1.864114,0.7704606,853.75,39,9.10616E-17,-0.1261001,24.44033,10.56387,64.98699,14.62532,14.60299,2.419479,14.51519,-2.556195,39.91278,95,0.998997,0,29.5301,0,0,0,0,0.6228736,0.008107641,-13.12336,18.43137
32.951,33.81887,-118.3597,1.864114,0.7730992,860,39,9.10616E-17,-0.5787844,24.06398,10.60005,64.73564,14.62532,14.52664,2.411222,15.19341,-2.914458,40.87986,95,0.998997,0,29.5301,0,0,0,0,0.6448213,0.008780878,-13.12336,18.43137
33.951,33.81887,-118.3597,1.864114,0.7774968,854.5,39,9.10616E-17,-0.4290941,24.37675,10.66035,65.52292,14.62532,14.64005,2.397584,15.3192,-2.041046,40.08994,95,0.998997,0,29.5301,0,0,0,0,0.6650416,0.009413879,-16.4042,18.43137
34.956,33.81886,-118.3597,0,0.7801353,853.75,45,-1.568001,-0.7426943,24.63853,10.69652,64.61607,14.62532,14.59138,0,14.45225,-2.173444,40.57925,96.8,0.998997,0,29.5301,0,0,0,0,0.6795341,0.009413879,-16.4042,18.43137
35.95,33.81885,-118.3597,0,0.7722197,866.25,45,-1.568001,-0.5939324,24.03661,10.58799,64.19547,14.62532,14.62353,0,14.05258,-1.820527,40.49385,96.8,0.998997,0,29.5301,0,0,0,0,0.6897331,0.009413879,-16.4042,18.43137
36.947,33.81885,-118.3597,0,0.6288577,904.5,45,1.821232E-16,-0.3136002,18.63316,8.622337,50.06688,14.62532,14.64496,0,14.11293,-2.724234,41.1587,96.8,0.998997,0,29.5301,0,0,0,0,0.7100382,0.009413879,-19.68504,18.03922
37.949,33.81885,-118.3597,0,0.701858,897.5,45,1.821232E-16,-0.3136002,20.92263,9.623253,56.31466,14.62532,14.7039,0,14.40252,-1.604202,41.31281,96.8,0.998997,0,29.5301,0,0,0,0,0.7316376,0.009413879,-19.68504,18.03922
38.952,33.81885,-118.3597,0,0.6719542,873.25,45,1.821232E-16,-0.3136002,20.73022,9.213239,55.41251,14.62532,14.79946,0,13.89233,-0.7586663,38.0944,96.8,0.998997,0,29.5301,0,0,0,0,0.7417643,0.009413879,-22.96588,18.03922
39.95,33.81884,-118.3598,1.864114,0.6534843,885.75,45,1.967121,0.0798241,19.89297,8.959995,54.4875,14.62532,14.57843,2.852576,14.59226,-0.2757973,39.60551,96.8,0.998997,0,29.5301,0,0,0,0,0.7633911,0.009773722,-22.96588,18.03922
