# StartTime = 09-11-2017 05:18:50.5691 pm
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,34.02077,-118.2905,0,0.5945564,969.5,35,0,0,0,8.152028,44.16233,14.62532,14.6204,0,-15.06418,-22.84094,20.73378,114.8,0.998997,0,29.5301,0,0,0,0,0.002824167,0,98.4252,17.64706
0.98,34.02077,-118.2905,0,0.5743273,939.75,35,0,0,16.55668,7.874666,44.01026,14.62532,14.64407,0,0.8940833,-25.89659,16.64052,114.8,0.998997,0,29.5301,0,0,0,0,0.02589403,0,98.4252,17.64706
1.982,34.02077,-118.2905,0,0.5620141,931.25,35,0,0,16.54097,7.705837,44.41196,14.62532,14.64407,0,3.936502,-30.22251,13.36276,114.8,0.998997,0,29.5301,0,0,0,0,0.04838653,0,98.4252,17.2549
2.981,34.02077,-118.2906,0,0.5655321,871,35,0,0,17.43555,7.754074,46.75692,14.62532,14.66952,0,5.087339,-30.70217,13.05545,114.8,0.998997,0,29.5301,0,0,0,0,0.06100538,0,98.4252,17.64706
3.98,34.02077,-118.2906,0,0.6059901,678.75,35,0,0,22.96452,8.308798,64.29282,14.62532,15.49067,0,4.971683,-30.32812,13.1279,114.8,0.998997,0,29.5301,0,0,0,0,0.08037805,0,98.4252,17.64706
4.986,34.02078,-118.2906,0,0.5532188,735.75,40,0,0,22.33918,7.585245,54.14688,14.62532,15.49067,0,3.229179,-28.72784,13.6741,114.8,0.998997,0,29.5301,0,0,0,0,0.08037805,0,95.14436,17.64706
5.982,34.0208,-118.2906,0,0.558496,729.5,40,0,0,21.34917,7.6576,55.13171,14.62532,14.67935,0,3.17862,-27.11133,12.57954,114.8,0.998997,0,29.5301,0,0,0,0,0.1110353,0,78.74016,17.64706
6.983,34.02079,-118.2906,0,0.5532188,724,40,0,0,20.9141,7.585245,55.02564,14.62532,14.57843,0,3.580645,-26.17313,14.2413,114.8,0.998997,0,29.5301,0,0,0,0,0.1297728,0,68.89764,17.2549
7.981,34.02079,-118.2905,0,0.5549779,719.5,40,0,0,21.23691,7.609364,55.54585,14.62532,14.67622,0,4.585368,-27.20605,17.40795,114.8,0.998997,0,29.5301,0,0,0,0,0.1441186,0,78.74016,17.2549
8.979,34.02081,-118.2906,0,0.5400261,721,40,0,0,20.52861,7.404357,55.43029,14.62532,14.56771,0,5.290592,-31.4978,18.90752,114.8,0.998997,0,29.5301,0,0,0,0,0.1640661,0,72.17848,17.2549
