# StartTime = 09-10-2017 11:05:03.8212 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
20.978,33.95111,-118.28,68.35083,3.614832,2307,1531,-1.134148,0.07558937,46.37302,49.56337,112.8359,14.62532,14.44715,18.90844,23.22229,7.233331,-38.52128,188.6,0.998997,0,29.5301,0,0,0,0,0.3651955,0.4023855,29.52756,27.45098
21.973,33.95139,-118.2801,68.35083,2.646479,2218.75,1531,-3.642464E-16,0.2441879,32.69191,36.28617,90.06971,14.62532,14.52664,25.82708,24.79963,7.258548,-37.88298,188.6,0.998997,0,29.5301,0,0,0,0,0.3807647,0.4200612,29.52756,24.70588
22.975,33.95166,-118.2801,68.35083,1.539162,2168.75,1531,-3.642464E-16,0.2441879,19.77992,21.10362,51.10714,14.63157,13.81131,44.40782,24.13111,7.242034,-38.28677,188.6,0.999424,0,29.5301,0,0,0,0,0.3949645,0.4361009,26.24672,17.2549
23.972,33.95194,-118.2802,67.72946,2.803034,2232.75,1535,-0.9436048,-0.4155504,34.40872,38.43271,90.40553,14.62532,14.69989,24.16291,23.84361,7.176386,-37.53682,188.6,0.998997,0,29.5301,0,0,0,0,0.4098845,0.4530654,29.52756,24.31373
24.971,33.95221,-118.2802,67.10809,2.33337,2119.5,1535,-1.078058,-0.631162,29.98636,31.99309,79.27877,14.62532,14.51994,28.76016,23.83243,7.602926,-38.45342,188.6,0.998997,0,29.5301,0,0,0,0,0.4248704,0.469933,29.52756,23.52941
25.977,33.95247,-118.2803,67.72946,1.400198,2107.75,1535,-1.072565,-0.2645505,18.20751,19.19827,28.81725,14.62532,14.56682,48.37135,24.29023,7.324714,-39.1853,188.6,0.998997,0,29.5301,0,0,0,0,0.4477148,0.4958754,29.52756,20
26.974,33.95274,-118.2803,68.35083,1.623596,2098.25,1535,0.6466776,-0.135215,21.20806,22.26131,59.40472,14.62532,14.83206,42.09842,24.28077,7.869235,-41.77147,188.6,0.998997,0,29.5301,0,0,0,0,0.4634555,0.5136028,29.52756,21.17647
27.972,33.95301,-118.2804,67.10809,3.091517,2113.25,1535,-2.051952,-0.3568844,40.22925,42.38813,105.3483,14.62532,14.97673,21.70717,27.25739,6.555681,-35.54042,188.6,0.998997,0,29.5301,0,0,0,0,0.4781072,0.5302379,29.52756,25.4902
28.971,33.95329,-118.2804,68.35083,3.615716,2110.75,1539,1.398552,-0.07717393,46.93875,49.57548,115.7953,14.62174,14.63425,18.90382,21.49735,7.060478,-37.93626,186.8,0.998753,0,29.5301,0,0,0,0,0.496606,0.5510882,29.52756,27.05882
29.971,33.95356,-118.2805,67.72946,1.815332,2133.5,1539,-0.9689155,-0.4096405,23.34543,24.89022,61.27314,14.62532,14.87894,37.30968,23.89101,7.628031,-38.84752,186.8,0.998997,0,29.5301,0,0,0,0,0.5109435,0.5671685,29.52756,21.56863
