# StartTime = 09-11-2017 09:33:08.6643 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,33.88596,-118.2853,28.58307,1.876898,0,0,0,0,0,25.73436,0,14.62532,0,15.22889,12.10384,24.97545,3.390692,0,0.998997,0,0,0,0,0,0,0.003750933,0.003582536,-32.8084,0
0.944,33.88607,-118.2853,28.58307,3.260385,1635,359,0,0,54.83255,44.70351,82.66653,14.62532,14.66059,8.766778,11.3574,25.51352,2.56437,188.6,0.998997,0,29.5301,0,0,0,0,0.02070247,0.01177367,-29.52756,28.23529
1.949,33.8862,-118.2853,31.68993,4.752363,2243.75,359,5.967873,1.193575,59.53824,65.16018,152.5253,14.58647,14.67845,6.668247,11.41964,26.21499,2.631232,188.6,0.9963435,0,29.5301,0,0,0,0,0.03334616,0.01834667,-29.52756,37.2549
2.949,33.88634,-118.2853,33.55404,5.012513,2207.75,359,1.581532,1.509881,61.26511,68.72712,163.498,14.58736,14.33195,6.322165,11.45336,26.03552,2.099632,188.6,0.9964045,0,29.5301,0,0,0,0,0.05503277,0.03025379,-32.8084,23.13725
3.951,33.88649,-118.2853,34.79679,3.040505,1944.5,359,1.929362,1.895753,42.9957,41.6887,75.95802,14.62532,14.71641,11.44441,10.96915,26.01455,2.589642,188.6,0.998997,0,29.5301,0,0,0,0,0.06966392,0.0388234,-39.37008,23.13725
4.953,33.88665,-118.2853,34.79679,2.910336,1960,359,3.642464E-16,1.895753,40.28485,39.90394,106.9286,14.61549,14.6146,11.95628,11.01902,26.19439,3.258974,188.6,0.998326,0,29.5301,0,0,0,0,0.07684369,0.0429782,-42.65092,31.37255
5.955,33.88681,-118.2853,38.52501,4.043406,2103,365,4.083371,2.712428,52.82959,55.43959,138.457,14.59897,14.59004,9.527861,11.32943,26.33082,3.748743,188.6,0.9971975,0,29.5301,0,0,0,0,0.09856653,0.05663536,-45.93176,31.37255
6.973,33.88699,-118.2853,41.0105,3.7274,2103.75,365,3.179034,2.638999,48.63876,51.10679,138.9505,14.6012,14.59317,11.00244,9.484563,25.5238,5.167765,188.6,0.99735,0,29.5301,0,0,0,0,0.1209524,0.07127817,-49.2126,29.80392
7.953,33.88717,-118.2853,42.25324,1.760655,2040.5,365,1.502902,2.45524,23.62762,24.14054,126.1246,14.61192,14.68828,23.99859,-34.96345,16.57486,20.30149,188.6,0.998082,0,29.5301,0,0,0,0,0.1373791,0.08285555,-52.49344,23.52941
9.001,33.88734,-118.2853,43.49598,0.4846162,1614.75,365,2.107345,2.174531,8.225699,6.644627,20.39629,14.62532,13.98143,89.75346,-8.79148,-13.38166,30.24626,188.6,0.998997,0,29.5301,0,0,0,0,0.1531265,0.09413324,-49.2126,16.86275
9.956,33.88752,-118.2853,43.49598,0.4116159,1370.25,365,2.107345,2.174531,8.180884,5.643712,21.63212,14.43376,18.03896,105.6713,-30.45948,12.22257,-7.417673,188.6,0.9859125,0,29.5301,0,0,0,0,0.1654947,0.1030903,-52.49344,16.47059
10.963,33.88767,-118.2853,44.11736,0.473491,1358.5,365,0.4332829,1.788698,8.865501,6.492088,23.24258,13.52911,18.03896,93.17464,-29.39252,21.45047,-5.483057,188.6,0.9241195,0,29.5301,0,0,0,0,0.1861603,0.1184186,-55.77428,16.47059
11.993,33.88786,-118.2853,44.11736,0.4554261,1312.5,371,-0.8545932,1.444513,8.764352,6.244398,24.98764,13.52911,18.03896,96.87051,2.433373,35.95278,-1.636035,188.6,0.9241195,0,29.5301,0,0,0,0,0.1963313,0.1260341,-55.77428,16.47059
12.954,33.88803,-118.2853,42.87461,0.4544753,1296.75,371,-1.078274,0.5930511,8.892383,6.231361,25.23834,13.52911,18.03896,94.33871,-18.75613,27.18085,4.112581,190.4,0.9241195,0,29.5301,0,0,0,0,0.218134,0.1414104,-59.05512,16.47059
13.956,33.88821,-118.2853,42.87461,0.4925067,1474,371,7.284928E-16,0.2924708,8.869005,6.752814,24.06143,13.52911,18.03896,87.05386,-9.18688,27.17071,-18.26521,190.4,0.9241195,0,29.5301,0,0,0,0,0.2343178,0.1530468,-59.05512,16.47059
14.959,33.88841,-118.2853,41.63187,1.046814,1614,371,-1.990033,-0.5270047,17.45666,14.35299,46.70602,13.52911,15.16561,39.77006,-30.52295,13.1223,-10.07491,190.4,0.9241195,0,29.5301,0,0,0,0,0.2495483,0.1637488,-55.77428,17.64706
15.966,33.88858,-118.2853,42.25324,1.204645,1564,371,0.7559437,-0.6333912,19.35503,16.51702,55.46627,13.52911,13.59966,35.07527,-17.2056,27.07832,14.2389,190.4,0.9241195,0,29.5301,0,0,0,0,0.2666909,0.1756834,-59.05512,19.60784
17.042,33.88875,-118.2853,41.0105,1.48988,1415.5,376,-2.055016,-0.8734757,23.53413,20.42791,75.79634,13.52911,13.39917,27.52604,-14.797,32.05344,1.031824,190.4,0.9241195,0,29.5301,0,0,0,0,0.2815607,0.1859475,-59.05512,21.17647
17.955,33.88891,-118.2853,41.0105,0.5390952,1279.5,376,1.092739E-15,-0.6578209,10.68494,7.391594,30.34114,13.52911,13.12903,76.07284,-6.036991,32.93449,-6.491179,190.4,0.9241195,0,29.5301,0,0,0,0,0.2988838,0.1977113,-59.05512,16.86275
18.954,33.88906,-118.2853,41.0105,0.8433464,1362.5,376,-2.195175,-0.5341638,15.7442,11.56322,44.97546,13.52911,13.7613,48.6283,-14.94776,25.86703,5.52162,190.4,0.9241195,0,29.5301,0,0,0,0,0.3209048,0.2131193,-59.05512,18.03922
20.366,33.88921,-118.2853,41.0105,2.96645,1916.25,379,1.092739E-15,-0.139337,55.76868,40.67332,111.4786,13.52911,13.88543,13.82477,-21.18583,25.18041,-5.566905,188.6,0.9241195,0,29.5301,0,0,0,0,0.3418469,0.2272582,-55.77428,25.88235
20.967,33.88937,-118.2853,41.0105,2.96645,1916.25,379,1.092739E-15,-0.4763531,55.76868,40.67332,111.4786,13.52911,13.03704,13.82477,-21.85513,24.68618,-3.46928,188.6,0.9241195,0,29.5301,0,0,0,0,0.3552204,0.2364734,-52.49344,25.09804
