# StartTime = 09-19-2017 10:47:00.4575 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,33.81942,-118.3598,20.50525,0.5672912,1078.75,269,0,0,0,7.778193,37.86971,14.62532,0,36.1459,0,0,0,0,0.998997,0,0,0,0,0,0,0.003001983,0.002385046,-32.8084,0
0.984,33.8195,-118.3598,19.88388,0.5681707,1052.25,269,-0.4617378,-0.09234757,14.06094,7.790252,38.88362,14.62532,14.48823,34.99631,-14.06135,43.75275,1.576032,129.2,0.998997,0,29.5301,0,0,0,0,0.01938898,0.007835789,-32.8084,17.2549
1.987,33.81957,-118.3598,19.26251,0.558496,1037.5,269,-0.9849838,-0.2893443,14.28499,7.6576,38.7649,14.62532,14.6664,35.60254,-18.28309,40.0882,7.326395,129.2,0.998997,0,29.5301,0,0,0,0,0.0403147,0.0147302,-36.08924,17.2549
2.988,33.81966,-118.3598,19.26251,1.603367,1339,269,-0.9849838,-0.2893443,40.17315,21.98395,86.23015,14.62532,15.47281,12.01378,-7.193374,44.71444,4.421905,129.2,0.998997,0,29.5301,0,0,0,0,0.0502016,0.01786246,-36.08924,21.56863
3.992,33.81974,-118.3598,19.26251,2.13108,1392.75,269,0,-0.2893443,40.84914,29.21947,85.31251,14.62532,14.6079,9.038848,-13.17572,41.51311,6.979473,129.2,0.998997,0,29.5301,0,0,0,0,0.07196622,0.02489782,-39.37008,21.96078
4.988,33.81981,-118.3598,20.50525,2.123164,1551.5,269,1.847461,0.08014782,36.34125,29.11094,98.5459,14.62532,14.19666,9.657872,-9.252259,44.36151,8.534773,129.2,0.998997,0,29.5301,0,0,0,0,0.08778923,0.03027131,-36.08924,22.7451
5.988,33.8199,-118.3598,21.74799,2.270044,1622.5,274,2.115585,0.5956123,38.75561,31.12483,100.7526,14.62532,14.55611,9.580426,-5.25652,46.22171,6.839327,129.2,0.998997,0,29.5301,0,0,0,0,0.1031098,0.03564382,-36.08924,23.52941
6.987,33.82,-118.3598,21.12662,2.422202,1652.25,274,-0.958304,0.6009483,38.85991,33.21107,105.5702,14.62532,14.52976,8.722074,1.943696,7.69989,-29.2606,129.2,0.998997,0,29.5301,0,0,0,0,0.118427,0.04102607,-36.08924,23.92157
7.992,33.8201,-118.3598,24.23348,2.301707,1671.75,274,2.383105,1.656908,37.17334,31.55896,99.14834,14.62532,14.60701,10.52848,-32.36972,-11.47515,-4.378704,129.2,0.998997,0,29.5301,0,0,0,0,0.1404649,0.04972923,-36.08924,23.52941
8.989,33.82018,-118.3598,25.47622,2.524226,1706.25,274,2.277114,1.742839,39.3634,34.60994,96.36406,14.62532,14.49225,10.09269,-31.63171,-11.9443,-13.94604,129.2,0.998997,0,29.5301,0,0,0,0,0.1566929,0.05642883,-36.08924,23.92157
9.985,33.8203,-118.3598,26.09759,2.402852,1741.25,279,0.4849335,1.839825,36.60187,32.94577,99.37396,14.62532,14.66952,10.34389,-29.35704,-12.42213,-14.14648,131,0.998997,0,29.5301,0,0,0,0,0.1738227,0.06372897,-39.37008,23.92157
10.983,33.82042,-118.3598,27.34033,2.614817,1787.5,279,2.011116,2.010592,38.92263,35.85204,99.81455,14.62532,14.54137,10.45593,-31.01595,-12.69869,-14.26748,131,0.998997,0,29.5301,0,0,0,0,0.1878003,0.0700335,-32.8084,24.31373
11.985,33.82054,-118.3598,27.34033,2.896263,1885,279,-7.284928E-16,1.431253,41.9618,39.71099,110.6454,14.62442,14.58513,9.439864,-30.227,-11.85556,-14.04246,131,0.998936,0,29.5301,0,0,0,0,0.2034704,0.07716799,-29.52756,25.09804
12.981,33.82067,-118.3598,29.82582,2.734432,1910,279,4.465694,1.847771,38.23273,37.4921,103.0957,14.62532,14.58156,10.9075,-29.53049,-12.50645,-13.65703,131,0.998997,0,29.5301,0,0,0,0,0.2171392,0.08379619,-29.52756,24.70588
13.99,33.8208,-118.3598,31.06856,2.836456,1932.75,279,1.599331,1.922224,39.40042,38.89096,105.6835,14.62532,14.70971,10.9533,-30.08741,-12.16719,-14.43875,131,0.998997,0,29.5301,0,0,0,0,0.2406956,0.09590632,-26.24672,24.70588
14.984,33.82094,-118.3598,32.3113,2.836456,1966.25,283,1.97296,2.00982,38.68846,38.89096,103.8829,14.62532,14.58915,11.39143,-30.17364,-12.47708,-14.25607,131,0.998997,0,29.5301,0,0,0,0,0.2567694,0.1044991,-22.96588,24.70588
15.985,33.82109,-118.3598,33.55404,2.981577,2007,283,2.199493,2.047496,39.52808,40.88073,107.3278,14.62532,14.59629,11.25379,-29.58714,-12.34343,-14.01477,131,0.998997,0,29.5301,0,0,0,0,0.2714189,0.1126048,-19.68504,25.09804
16.99,33.82123,-118.3598,34.79679,3.000926,2057,283,2.345471,2.089056,39.20829,41.14604,105.0577,14.62532,14.63335,11.59535,-28.78693,-13.2695,-13.70987,131,0.998997,0,29.5301,0,0,0,0,0.2847877,0.1203258,-19.68504,25.09804
17.988,33.82138,-118.3598,34.79679,3.08624,2100.75,283,-7.284928E-16,1.303585,39.56049,42.31578,105.7943,14.62532,14.68202,11.27482,-28.90899,-12.6332,-14.22774,131,0.998997,0,29.5301,0,0,0,0,0.3072491,0.1332653,-16.4042,25.09804
18.982,33.82153,-118.3598,36.03953,3.137252,2143.75,288,2.139444,1.731474,39.58976,43.01521,105.3858,14.62532,14.62933,11.48761,-30.02146,-13.11271,-14.69232,134.6,0.998997,0,29.5301,0,0,0,0,0.3144144,0.1375297,-16.4042,24.70588
19.983,33.82169,-118.3598,37.28227,2.468816,2150.75,288,-9.10616E-16,1.652805,30.54259,33.85021,98.9175,14.62532,14.49449,15.10128,-29.8994,-13.15636,-14.56045,134.6,0.998997,0,29.5301,0,0,0,0,0.3393455,0.1530373,-16.4042,24.31373
20.983,33.82185,-118.3598,37.90364,1.986838,1765.5,288,1.030166,0.9498454,29.94345,27.24176,93.48884,14.62532,14.03903,19.07736,-29.08874,-13.36619,-14.24611,134.6,0.998997,0,29.5301,0,0,0,0,0.3547623,0.1628683,-13.12336,22.35294
21.984,33.82201,-118.3598,39.14639,1.373812,1582,288,2.174132,1.384672,22.75733,18.83649,62.53564,14.62532,14.75749,28.49471,-30.5091,-13.89295,-15.11828,134.6,0.998997,0,29.5301,0,0,0,0,0.3698143,0.1725242,-13.12336,20.39216
22.996,33.82217,-118.3598,39.14639,1.109956,1537.5,288,-7.284928E-16,1.384672,18.94074,15.21873,51.9873,14.62532,14.79767,35.26842,-29.30885,-13.44729,-14.70537,134.6,0.998997,0,29.5301,0,0,0,0,0.3840854,0.1819208,-13.12336,17.2549
23.996,33.82233,-118.3598,38.52501,0.5241947,1321,292,-7.284928E-16,0.4136436,9.804994,7.187291,28.57568,14.62532,14.63425,73.49371,-30.25139,-14.10091,-13.86213,134.6,0.998997,0,29.5301,0,0,0,0,0.4065728,0.1963543,-13.12336,17.2549
24.987,33.82248,-118.3598,37.28227,0.5435441,1282.75,292,-2.070576,-0.4002653,11.23297,7.452594,30.51403,14.62532,14.9486,68.59106,-29.25104,-13.50642,-14.25895,134.6,0.998997,0,29.5301,0,0,0,0,0.4212905,0.205646,-9.84252,17.2549
25.99,33.82263,-118.3598,37.28227,0.538267,1246.75,292,-2.272685,-0.604335,11.27497,7.380239,31.09031,14.62532,14.66952,71.57231,-29.97728,-13.69506,-13.65802,134.6,0.998997,0,29.5301,0,0,0,0,0.4403202,0.2177007,-9.84252,17.2549
26.991,33.82278,-118.3598,36.6609,0.538267,1232,292,-1.177855,-0.8399059,11.64867,7.380239,31.46254,14.62532,14.71373,68.10914,-29.25053,-13.75902,-13.47514,134.6,0.998997,0,29.5301,0,0,0,0,0.453317,0.225599,-9.84252,17.2549
27.986,33.82293,-118.3598,36.03953,0.536508,1221,296,-1.206947,-0.8540795,11.63189,7.35612,31.64224,14.62532,14.7173,67.17427,-29.95775,-12.88027,-14.86431,140,0.998997,0,29.5301,0,0,0,0,0.4686477,0.2347209,-9.84252,17.2549
28.989,33.82307,-118.3598,35.41816,0.536508,1203.75,296,-1.311757,-0.7023157,11.85897,7.35612,32.09568,14.62532,14.67131,66.01609,-29.43446,-13.03353,-14.53369,140,0.998997,0,29.5301,0,0,0,0,0.486324,0.245356,-6.56168,17.2549
29.995,33.82321,-118.3598,34.79679,0.538267,1200.75,296,-1.127335,-0.9647789,11.8907,7.380239,32.28136,14.62532,14.68694,65.80035,-29.75368,-14.97277,-14.2198,140,0.998997,0,29.5301,0,0,0,0,0.507507,0.2577193,-6.56168,17.2549
30.994,33.82335,-118.3598,34.17542,0.5426646,1191.25,296,-0.9428186,-0.9177716,12.16144,7.440535,32.5388,14.62532,14.64318,62.97705,-31.41601,-12.88929,-12.97052,140,0.998997,0,29.5301,0,0,0,0,0.5226057,0.266491,-6.56168,17.2549
32.006,33.82349,-118.3598,33.55404,0.7651835,1270.25,300,-1.10624,-0.8976302,17.28242,10.49152,43.37936,14.62532,14.87715,43.85098,-28.78813,-12.77486,-14.53275,140,0.998997,0,29.5301,0,0,0,0,0.5372114,0.2746603,-6.56168,18.03922
32.987,33.82362,-118.3598,33.55404,1.423065,1389.75,300,3.642464E-16,-0.8976302,28.84665,19.51181,73.7386,14.62532,15.30447,23.57871,-29.816,-12.98169,-14.95735,140,0.998997,0,29.5301,0,0,0,0,0.5518808,0.282861,-6.56168,20.78431
33.987,33.82375,-118.3598,33.55404,1.371174,1441.25,300,3.642464E-16,-0.6352788,26.19371,18.80031,68.51093,14.62532,14.76642,24.47104,-28.12892,-12.58401,-15.14905,140,0.998997,0,29.5301,0,0,0,0,0.5735552,0.2949529,-3.28084,21.56863
